dir_rel,file_count,total_size_bytes,total_size_mb
tools/codex/runs/20260302_001507_20C8/B_tooling,12,1057929,1.01
tools/codex/worktrees/B_tooling/tools/codex/runs/20260302_001507_20C8/B_tooling,12,1057929,1.01
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/apps/keystone/dev-datasets/datasets,5,999313,0.95
tools/codex/runs/20260228_183257_093E/A_core,8,996814,0.95
tools/codex/worktrees/Z_aggregator/apps/keystone/tests/guards,6,975922,0.93
tools/codex/worktrees/D_validation/tools/codex/runs/20260304_061005_61C9/D_validation,14,970899,0.93
packages/ui-kit/src/styles,3,955477,0.91
tools/codex/worktrees/A_core/packages/contracts/tests,5,947507,0.9
tools/codex/worktrees/B_tooling/packages/ui-kit/src/styles,2,946700,0.9
tools/codex/runs/20260228_183257_093E/A_core/FILES/packages/contracts/tests,4,936881,0.89
tools/docs_governor/reports,5,936480,0.89
tools/codex/runs/20260305_092736_F9A0/Z_aggregator,17,886935,0.85
tools/codex/worktrees/Z_aggregator/tools/codex/runs/20260305_092736_F9A0/Z_aggregator,14,875052,0.83
tools/codex/runs/{{RUN_ID}}/UNICODEX,11,865285,0.83
tools/codex/worktrees/D_validation/apps/keystone/tests/pitch-engine-validation/fixtures,3,807568,0.77
tools/codex/runs/20260301_011534_EF0A/Z_integrator,5,802261,0.77
tools/codex/worktrees/Z_aggregator/packages/ui-kit/tests/guards,7,791735,0.76
tools/_local/worktree_wash/20260301_022038/Z_aggregator,5,780632,0.74
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/tools/codex/dispatch/tests/observability,4,767273,0.73
tools/codex/worktrees/B_tooling/tools/codex/runs/20260304_061005_61C9/B_tooling,14,739060,0.7
tools/codex/runs/20260302_001507_20C8/D_validation,12,716641,0.68
tools/codex/worktrees/D_validation/tools/codex/runs/20260302_001507_20C8/D_validation,12,716641,0.68
tools/codex/runs/20260301_011534_EF0A/A_core,11,712539,0.68
tools/codex/runs/20260228_164549_2F73/A_core,6,664558,0.63
tools/codex/worktrees/D_validation/apps/keystone/tests/_utils,3,656588,0.63
tools/codex/runs/20260301_011534_EF0A/B_tooling/FILES/apps/keystone/lib/pitch,2,649425,0.62
tools/codex/runs/20260301_011534_EF0A/C_features/FILES/apps/keystone/lib/pitch,2,649425,0.62
docs/ui-map,5,632422,0.6
apps/keystone/lib/pitch,5,629379,0.6
tools/codex/runs/20260228_164549_2F73/A_core/FILES/packages/contracts/tests,3,614464,0.59
tools/codex/worktrees/B_tooling/apps/keystone/lib/pitch,4,614167,0.59
apps/keystone/components/pitch/run1,13,613846,0.59
tools/codex/runs/factory_smoke_test_20260218_000000_001/Z_integrator/LOGS,3,586241,0.56
tools/codex/runs/factory_smoke_20260304_232534_a09b221c_001/Z_integrator/LOGS,3,584293,0.56
tools/codex/runs/factory_smoke_20260304_232916_a09b221c_001/Z_integrator/LOGS,3,584293,0.56
tools/codex/runs/factory_smoke_20260304_214351_bd91c028_001/Z_integrator/LOGS,3,583011,0.56
tools/codex/runs/factory_smoke_20260304_212807_4d993bdd_001/Z_integrator/LOGS,3,582797,0.56
tools/codex/runs/factory_smoke_20260304_213135_6f06e517_001/Z_integrator/LOGS,3,582651,0.56
tools/codex/worktrees/A_core/tools/codex/runs/20260304_061005_61C9/A_core/FILES/apps/keystone/tests/pitch-engine-core,9,581837,0.55
tools/codex/worktrees/A_core/apps/keystone/tests/pitch-engine-core,9,581829,0.55
tools/codex/runs/manual_20260301_211924/A_core/_git_snapshots,4,576195,0.55
tools/_local/toolchain_reports,4,553497,0.53
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/packages/ui-kit/src/data-spine/schema,3,545602,0.52
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/apps/keystone/lib/dev-kpi,3,540045,0.52
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/tools/codex/factory/tests,2,500133,0.48
_attic/docs_dump/_root_archive/20260301_014802,25,497271,0.47
tools/codex/runs/20260228_183257_093E/C_features,8,492050,0.47
tools/codex/runs/{{RUN_ID}}/UNICODEX/FILES/docs/ui-map,5,491073,0.47
tools/codex/worktrees/B_tooling/tools/codex/runs/20260304_061005_61C9/B_tooling/FILES/apps/keystone/tests/pitch-engine-tooling,10,488760,0.47
tools/codex/worktrees/B_tooling/apps/keystone/tests/pitch-engine-tooling,11,482773,0.46
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/packages/ui-kit/src/data-spine,2,475721,0.45
tools/hos/data,7,473190,0.45
tools/codex/runs/20260302_001507_20C8/A_core,12,467836,0.45
tools/codex/runs/20260305_092736_F9A0/Z_aggregator/FILES/packages/ui-kit/src/motion/catalogs,5,456587,0.44
